"semana","Disciplina","Epoca del año","Cumplimiento_Estrategia","Cumplimiento_Programa","Ready_Backlog","HH_Actv_Gnerales","HH_En_la_Maquina","Otras_HH"
"2019-1","Instrumentos","Verano",0.98,0.95,5.16,0.37,3.27,0.67
"2019-10","Pozoz","Verano",0.99,0.92,4.67,0.3,1.8,1.9
"2019-11","Instrumentos","Verano",0.99,0.92,4.67,0.2,0.5,0
"2019-12","Instrumentos","Verano",0.99,0.92,4.67,1.05,8,1.55
"2019-12","Mecanica","Verano",0.99,0.92,4.67,0.7,9,1.3
"2019-12","Pozoz","Verano",0.99,0.92,4.67,0.6,3.3,2.2
"2019-15","Instrumentos","Verano",0.99,0.94,5.65,0.05,6.1,0.5
"2019-16","Instrumentos","Verano",0.99,0.94,5.65,0.57,8.33,1.93
"2019-17","Instrumentos","Verano",0.99,0.94,5.65,0.5,6.5,0.9
"2019-17","Pozoz","Verano",0.99,0.94,5.65,0.5,16,1.5
"2019-18","Instrumentos","Invierno",0.99,0.94,5.96,0.5,10.7,1.5
"2019-18","Mecanica VAL","Invierno",0.99,0.94,5.96,1.5,14,2.5
"2019-19","Electricidad","Invierno",0.99,0.94,5.96,0.1,2,0.35
"2019-19","Pozoz","Invierno",0.99,0.94,5.96,0.5,16,1.5
"2019-2","Electricidad","Verano",0.98,0.95,5.16,0.9,8.8,1.55
"2019-2","Instrumentos","Verano",0.98,0.95,5.16,0.57,6.68,1.57
"2019-2","Mecanica","Verano",0.98,0.95,5.16,0.5,6,1.05
"2019-2","Pozoz","Verano",0.98,0.95,5.16,0.69,4.52,2.5
"2019-20","Instrumentos","Invierno",0.99,0.94,5.96,0.23,6,0.87
"2019-20","Pozoz","Invierno",0.99,0.94,5.96,0.5,7,1.5
"2019-21","Instrumentos","Invierno",0.99,0.94,5.96,0.25,4.15,2.05
"2019-21","Mecanica VAL","Invierno",0.99,0.94,5.96,1.5,14,2.6
"2019-21","Pozoz","Invierno",0.99,0.94,5.96,0.85,5,3.65
"2019-23","Instrumentos","Invierno",0.99,0.94,5.78,1,4.3,3.8
"2019-23","Mecanica","Invierno",0.99,0.94,5.78,0.5,7,1.5
"2019-23","Mecanica VAL","Invierno",0.99,0.94,5.78,0.42,10.6,1.56
"2019-24","Instrumentos","Invierno",0.99,0.94,5.78,0.54,6.41,1.14
"2019-24","Linea de Mtto","Invierno",0.99,0.94,5.78,0.83,11.07,3.1
"2019-24","Mecanica","Invierno",0.99,0.94,5.78,0.83,9.67,1
"2019-24","Pozoz","Invierno",0.99,0.94,5.78,0.8,6.58,3.35
"2019-25","Electricidad","Invierno",0.99,0.94,5.78,0.85,11.15,2.9
"2019-25","Pozoz","Invierno",0.99,0.94,5.78,1,6,2.2
"2019-26","Instrumentos","Invierno",0.99,0.94,5.78,0.46,5.68,1.44
"2019-26","Pozoz","Invierno",0.99,0.94,5.78,0.93,6.98,2.75
"2019-27","Instrumentos","Invierno",0.99,0.95,5.75,1,12,2.1
"2019-28","Instrumentos","Invierno",0.99,0.95,5.75,2,7,1.5
"2019-28","Mecanica","Invierno",0.99,0.95,5.75,0.8,4,0.9
"2019-3","Electricidad","Verano",0.98,0.95,5.16,0.8,12.25,3.3
"2019-3","Instrumentos","Verano",0.98,0.95,5.16,0.52,4.08,0.7
"2019-3","Mecanica CBM","Verano",0.98,0.95,5.16,0.5,8,0.6
