"mes","semana","Epoca del año","estrategia Mtto","Programa Mtto","Ready back log","HH Actv Gnerales","HH En la Maquina","Otras HH","Disciplina","H Mantenimiento preventivo"
"2019-1","2019-1","Verano",0.977,0.9459,5.16,0.4,6,1,"Instrumentos",9.8
"2019-1","2019-1","Verano",0.977,0.9459,5.16,0.4,2.8,1,"Instrumentos",9.8
"2019-1","2019-1","Verano",0.977,0.9459,5.16,0.3,1,0,"Instrumentos",9.8
"2019-3","2019-10","Verano",0.4798,0.9204,4.67,0.3,1.8,1.9,"Pozoz",94.8
"2019-3","2019-11","Verano",0.4798,0.9204,4.67,0.2,0.5,0,"Instrumentos",0.5
"2019-3","2019-12","Verano",0.4798,0.9204,4.67,0.5,2,0.5,"Instrumentos",88.2
"2019-3","2019-12","Verano",0.4798,0.9204,4.67,1.6,14,2.6,"Instrumentos",88.2
"2019-3","2019-12","Verano",0.4798,0.9204,4.67,0.7,9,1.3,"Mecanica",88.2
"2019-3","2019-12","Verano",0.4798,0.9204,4.67,0.6,5,2.2,"Pozoz",88.2
"2019-3","2019-12","Verano",0.4798,0.9204,4.67,0.6,1.6,2.2,"Pozoz",88.2
"2019-4","2019-15","Verano",0.7914,0.9432,5.65,0.1,4.2,1,"Instrumentos",12.2
"2019-4","2019-15","Verano",0.7914,0.9432,5.65,0,8,0,"Instrumentos",12.2
"2019-4","2019-16","Verano",0.7914,0.9432,5.65,0.5,9,1.4,"Instrumentos",25
"2019-4","2019-16","Verano",0.7914,0.9432,5.65,0.7,14,2.2,"Instrumentos",25
"2019-4","2019-16","Verano",0.7914,0.9432,5.65,0.5,2,2.2,"Instrumentos",25
"2019-4","2019-17","Verano",0.7914,0.9432,5.65,0.5,7,0.6,"Instrumentos",13
"2019-4","2019-17","Verano",0.7914,0.9432,5.65,0.5,6,1.2,"Instrumentos",13
"2019-5","2019-19","Invierno",0.5951,0.9414,5.96,0,2,0,"Electricidad",82.4
"2019-5","2019-19","Invierno",0.5951,0.9414,5.96,0.2,2,0.7,"Electricidad",82.4
"2019-1","2019-2","Verano",0.977,0.9459,5.16,1,14,3.1,"Instrumentos",54.9
"2019-1","2019-2","Verano",0.977,0.9459,5.16,0.3,5.3,1.9,"Instrumentos",54.9
"2019-1","2019-2","Verano",0.977,0.9459,5.16,1.2,8.6,3.8,"Pozoz",54.9
"2019-1","2019-2","Verano",0.977,0.9459,5.16,0.5,2,1.6,"Pozoz",54.9
"2019-1","2019-2","Verano",0.977,0.9459,5.16,0.5,3,0.8,"Instrumentos",54.9
"2019-1","2019-2","Verano",0.977,0.9459,5.16,1.5,14,2.9,"Instrumentos",54.9
"2019-1","2019-2","Verano",0.977,0.9459,5.16,1.4,5,3.6,"Pozoz",54.9
"2019-1","2019-2","Verano",0.977,0.9459,5.16,0.5,3,0.7,"Instrumentos",54.9
"2019-5","2019-20","Invierno",0.5951,0.9414,5.96,0.4,8,1.3,"Instrumentos",1767.9
"2019-5","2019-20","Invierno",0.5951,0.9414,5.96,0,4,0,"Instrumentos",1767.9
"2019-5","2019-20","Invierno",0.5951,0.9414,5.96,0.3,6,1.3,"Instrumentos",1767.9
"2019-5","2019-21","Invierno",0.5951,0.9414,5.96,0.5,5,3.7,"Pozoz",32.3
"2019-5","2019-21","Invierno",0.5951,0.9414,5.96,0,1,1.1,"Instrumentos",32.3
"2019-5","2019-21","Invierno",0.5951,0.9414,5.96,0.5,7.3,3,"Instrumentos",32.3
"2019-5","2019-21","Invierno",0.5951,0.9414,5.96,1.5,14,2.6,"Mecanica VAL",32.3
"2019-5","2019-21","Invierno",0.5951,0.9414,5.96,1.2,5,3.6,"Pozoz",32.3
"2019-6","2019-23","Invierno",0.7409,0.9417,5.78,1,4.3,3.8,"Instrumentos",132.3
"2019-6","2019-23","Invierno",0.7409,0.9417,5.78,0.5,8,0.6,"Mecanica VAL",132.3
"2019-6","2019-23","Invierno",0.7409,0.9417,5.78,0.1,4,0.8,"Mecanica VAL",132.3
"2019-6","2019-23","Invierno",0.7409,0.9417,5.78,0.5,8,0.6,"Mecanica VAL",132.3
"2019-6","2019-24","Invierno",0.7409,0.9417,5.78,0.1,3,0.7,"Instrumentos",1289.1
"2019-6","2019-24","Invierno",0.7409,0.9417,5.78,0,2,0,"Instrumentos",1289.1
"2019-6","2019-24","Invierno",0.7409,0.9417,5.78,1,8,1.2,"Instrumentos",1289.1
"2019-6","2019-24","Invierno",0.7409,0.9417,5.78,0.3,6,0.9,"Instrumentos",1289.1
"2019-6","2019-24","Invierno",0.7409,0.9417,5.78,0.8,2.3,0.8,"Instrumentos",1289.1
"2019-6","2019-24","Invierno",0.7409,0.9417,5.78,0.1,2,0,"Instrumentos",1289.1
"2019-6","2019-24","Invierno",0.7409,0.9417,5.78,0.5,6.4,2.7,"Instrumentos",1289.1
"2019-6","2019-24","Invierno",0.7409,0.9417,5.78,0.3,4,2,"Instrumentos",1289.1
