"EpocaAño","Cumplimiento estrategia Mtto","CumplimientoProgramaMtto","ReadyBAcklog","HH Actv Gnerales","HH En la Maquina","Otras HH","TipoMantenimiento","Disciplina","Fe.CreadaOrden","fe.Ejecutada","dias_para_diferencia"
"Verano",0.977,0.9459,5.16,0.4,6,1,"Correctivo","Instrumentos",2019-01-03,2019-01-02,-1
"Verano",0.977,0.9459,5.16,0.4,2.8,1,"Correctivo","Instrumentos",2019-01-03,2019-01-02,-1
"Verano",0.977,0.9459,5.16,0.3,1,0,"Correctivo","Instrumentos",2019-01-11,2019-01-04,-7
"Verano",0.977,0.9459,5.16,1,14,3.1,"Correctivo","Instrumentos",2018-04-12,2019-01-08,271
"Verano",0.977,0.9459,5.16,0.3,5.3,1.9,"Correctivo","Instrumentos",2018-04-09,2019-01-08,274
"Verano",0.977,0.9459,5.16,1.2,8.6,3.8,"Correctivo","Pozoz",2018-04-23,2019-01-08,260
"Verano",0.977,0.9459,5.16,0.5,2,1.6,"Correctivo","Pozoz",2018-04-02,2019-01-08,281
"Verano",0.977,0.9459,5.16,0.5,3,0.8,"Correctivo","Instrumentos",2018-08-30,2019-01-08,131
"Verano",0.977,0.9459,5.16,1.5,14,2.9,"Correctivo","Instrumentos",2018-05-23,2019-01-08,230
"Verano",0.977,0.9459,5.16,1.4,5,3.6,"Correctivo","Pozoz",2018-07-18,2019-01-08,174
"Verano",0.977,0.9459,5.16,0.5,3,0.7,"Correctivo","Instrumentos",2019-01-11,2019-01-09,-2
"Verano",0.977,0.9459,5.16,0.5,8.5,0.5,"Correctivo","Instrumentos",2019-01-15,2019-01-15,0
"Verano",0.977,0.9459,5.16,0.4,1,1.6,"Correctivo","Pozoz",2019-01-16,2019-01-16,0
"Verano",0.977,0.9459,5.16,0.8,3,0.6,"Correctivo","Instrumentos",2019-01-21,2019-01-17,-4
"Verano",0.977,0.9459,5.16,0.8,2.8,1.1,"Correctivo","Instrumentos",2019-01-21,2019-01-18,-3
"Verano",0.977,0.9459,5.16,0,2,0.6,"Correctivo","Instrumentos",2019-03-07,2019-01-19,-47
